playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
Aaron Brooks,5.90625,1,72.0,161.0,2.34375,0.625,0.34375,0.1875,0.0,0.875,2.15625,0.875,0.318821875,1.1875,0.53125,0.3171875,0.96875,0.34375,0.20833125,0.34375,0.25,0.114584375,0.21875,0.3125
Aaron Gordon,33.0172413793,4,81.0,225.0,17.6206896552,2.34482758621,1.84482758621,1.0,0.775862068966,1.91379310345,14.9310344828,6.46551724138,0.433677586207,9.03448275862,4.48275862069,0.498887931034,5.89655172414,1.98275862069,0.346782758621,3.87931034483,2.70689655172,0.567060344828,1.51724137931,6.37931034483
Aaron Harrison,26.1111111111,5,78.0,213.0,6.66666666667,1.22222222222,0.333333333333,1.0,0.222222222222,3.0,7.66666666667,2.11111111111,0.254944444444,2.88888888889,1.11111111111,0.370366666667,4.77777777778,1.0,0.156433333333,1.88888888889,1.44444444444,0.453711111111,0.444444444444,2.22222222222
Aaron Jackson,35.0,0,76.0,183.0,8.0,1.0,1.0,0.0,0.0,4.0,9.0,3.0,0.3333,5.0,2.0,0.4,4.0,1.0,0.25,2.0,1.0,0.5,2.0,1.0
Abdel Nader,10.875,2,78.0,230.0,3.04166666667,0.541666666667,0.708333333333,0.3125,0.208333333333,0.9375,3.10416666667,1.04166666667,0.243052083333,1.75,0.5625,0.203125,1.35416666667,0.479166666667,0.214235416667,0.8125,0.479166666667,0.159722916667,0.270833333333,1.20833333333
Adreian Payne,8.6,4,82.0,245.0,4.2,0.0,0.4,0.4,0.0,1.2,2.0,1.4,0.41666,1.4,1.0,0.43334,0.6,0.4,0.4,1.2,1.0,0.35,0.4,1.4
Al Horford,31.5972222222,3,82.0,245.0,12.875,4.70833333333,1.81944444444,0.597222222222,1.09722222222,1.91666666667,10.4583333333,5.11111111111,0.485230555556,7.31944444444,3.76388888889,0.512365277778,3.13888888889,1.34722222222,0.450891666667,1.66666666667,1.30555555556,0.421130555556,1.43055555556,5.93055555556
Al Jefferson,13.3333333333,3,82.0,265.0,7.0,0.833333333333,0.583333333333,0.444444444444,0.638888888889,1.83333333333,5.77777777778,3.08333333333,0.516205555556,5.69444444444,3.08333333333,0.524141666667,0.0833333333333,0.0,0.0,1.0,0.833333333333,0.388891666667,0.833333333333,3.13888888889
Al-Farouq Aminu,30.0144927536,3,81.0,215.0,9.33333333333,1.21739130435,1.14492753623,1.15942028986,0.565217391304,1.97101449275,8.4347826087,3.33333333333,0.406305797101,3.52173913043,1.52173913043,0.39945942029,4.91304347826,1.8115942029,0.378534782609,1.15942028986,0.855072463768,0.350001449275,1.40579710145,6.1884057971
Alan Williams,14.2,4,80.0,260.0,4.0,1.6,1.4,1.0,0.2,2.6,3.6,1.4,0.37572,3.6,1.4,0.37572,0.0,0.0,0.0,1.8,1.2,0.42,0.6,3.8
Alec Burks,16.5625,5,78.0,195.0,7.71875,1.046875,0.9375,0.59375,0.125,1.171875,6.46875,2.65625,0.3422515625,4.25,1.921875,0.369771875,2.21875,0.734375,0.2736984375,1.9375,1.671875,0.46565,0.296875,2.703125
Alec Peters,11.2,4,81.0,235.0,4.1,0.6,0.2,0.1,0.1,0.65,3.7,1.4,0.241315,0.8,0.5,0.30357,2.9,0.9,0.201605,0.5,0.4,0.15,0.4,1.45
Alex Caruso,15.1891891892,5,78.0,181.0,3.62162162162,2.02702702703,1.10810810811,0.648648648649,0.243243243243,1.40540540541,3.13513513514,1.35135135135,0.353827027027,1.97297297297,1.0,0.404118918919,1.16216216216,0.351351351351,0.211710810811,0.810810810811,0.567567567568,0.213964864865,0.405405405405,1.35135135135
Alex Len,20.2173913043,3,85.0,255.0,8.50724637681,1.1884057971,1.13043478261,0.391304347826,0.869565217391,2.28985507246,5.47826086957,3.10144927536,0.546705797101,5.4347826087,3.08695652174,0.548033333333,0.0434782608696,0.0144927536232,0.0144927536232,3.34782608696,2.28985507246,0.556084057971,2.55072463768,4.97101449275
Alex Poythress,4.12,2,80.0,238.0,1.04,0.08,0.08,0.12,0.04,0.64,1.04,0.44,0.206668,0.6,0.28,0.18,0.44,0.16,0.1,0.0,0.0,0.0,0.28,0.4
Alfonzo McKinnie,3.85714285714,1,80.0,215.0,1.5,0.0714285714286,0.214285714286,0.0714285714286,0.0714285714286,0.571428571429,1.07142857143,0.571428571429,0.2619,0.428571428571,0.357142857143,0.285714285714,0.642857142857,0.214285714286,0.178571428571,0.214285714286,0.142857142857,0.0476214285714,0.0714285714286,0.428571428571
Allen Crabbe,29.2933333333,5,78.0,197.0,13.2,1.57333333333,1.02666666667,0.626666666667,0.48,2.24,11.0266666667,4.49333333333,0.387854666667,3.93333333333,1.81333333333,0.407124,7.09333333333,2.68,0.360676,1.8,1.53333333333,0.513768,0.373333333333,3.93333333333
Amir Johnson,15.8648648649,3,81.0,210.0,4.62162162162,1.59459459459,0.756756756757,0.608108108108,0.594594594595,2.59459459459,3.52702702703,1.89189189189,0.479655405405,3.09459459459,1.75675675676,0.496124324324,0.432432432432,0.135135135135,0.10135,1.14864864865,0.702702702703,0.266891891892,1.64864864865,2.78378378378
Andre Drummond,33.7179487179,3,83.0,275.0,15.0128205128,3.03846153846,2.60256410256,1.47435897436,1.65384615385,3.20512820513,11.2948717949,5.97435897436,0.527893589744,11.1538461538,5.97435897436,0.534656410256,0.141025641026,0.0,0.0,5.0641025641,3.0641025641,0.567896153846,5.14102564103,10.8717948718
Andre Iguodala,25.4375,2,78.0,207.0,6.0,3.296875,1.046875,0.84375,0.59375,1.546875,5.0,2.3125,0.4785984375,3.171875,1.796875,0.5576109375,1.828125,0.515625,0.21796875,1.359375,0.859375,0.316146875,0.765625,3.0625
Andre Ingram,32.0,6,75.0,195.0,12.0,3.5,1.5,1.5,1.5,1.5,8.5,4.0,0.4861,4.0,1.5,0.43335,4.5,2.5,0.525,1.5,1.5,0.5,0.5,2.5
Andrew Bogut,9.04166666667,3,84.0,260.0,1.5,0.625,0.791666666667,0.166666666667,0.541666666667,1.66666666667,1.04166666667,0.708333333333,0.3486125,1.04166666667,0.708333333333,0.3486125,0.0,0.0,0.0,0.0833333333333,0.0833333333333,0.0416666666667,1.08333333333,2.16666666667
Andrew Harrison,23.6607142857,4,78.0,210.0,9.51785714286,3.16071428571,1.44642857143,0.678571428571,0.464285714286,2.46428571429,7.66071428571,3.23214285714,0.407821428571,5.125,2.39285714286,0.444782142857,2.53571428571,0.839285714286,0.2982125,2.83928571429,2.21428571429,0.624919642857,0.410714285714,1.92857142857
Andrew White,13.8666666667,2,78.0,210.0,4.6,0.4,0.533333333333,0.2,0.0666666666667,0.8,4.86666666667,1.66666666667,0.29232,1.6,0.466666666667,0.138893333333,3.26666666667,1.2,0.319126666667,0.266666666667,0.0666666666667,0.0666666666667,0.266666666667,2.0
